[u'hiring', u'job', u'parttime']point(33.4941704,-111.9260519)  02/23/2017
[]point(36.69549,-93.36978)  02/23/2017
[]point(42.36493,-71.08268)  02/23/2017
[]point(41.49665229,-81.68805566)  02/23/2017
[]point(42.2589188,-82.9965668)  02/23/2017
[u'jewelryplayground', u'rosegold', u'diamonds']point(38.6723595,-121.7935867)  02/23/2017
[]point(36.10941917,-115.17406762)  02/23/2017
[u'ashtrays', u'relax', u'inlovewiththecocoa', u'myfathercigars']point(33.89149,-84.3816499)  02/23/2017
[]point(34.07489651,-118.44135037)  02/23/2017
[]point(34.1322933,-118.3389883)  02/23/2017
[u'justrun', u'runner', u'run', u'running', u'miles', u'colorado', u'lifeisgood', u'training', u'glenwoodsprings', u'nike']point(39.5396,-107.329)  02/23/2017
[u'\u522b\u4eba\u5bb6\u7684\u7537\u670b\u53cb']point(40.44285601,-79.92579127)  02/23/2017
[]point(38.88843362,-77.02379197)  02/23/2017
[u'hiring', u'job', u'AMD', u'womenintech', u'Markham']point(43.8561002,-79.3370188)  02/23/2017
[u'HumpDay']point(33.2116,-117.326)  02/23/2017
[u'job', u'PHD', u'PostDoc', u'CityofHope', u'LosAngeles']point(34.0522342,-118.2436849)  02/23/2017
[u'job', u'MendotaHeights', u'RHFAJobs', u'Accounting', u'Hiring']point(44.8727363,-93.1478514)  02/23/2017
[u'hiring', u'job', u'culinary', u'foodie', u'SouthSanFrancisco']point(37.654656,-122.4077498)  02/23/2017
[u'SanJose', u'job', u'MakeUp', u'MUA', u'BeautyExpert']point(37.258892,-121.8769863)  02/23/2017
[]point(49.27406348,-123.154361)  02/23/2017
[u'job', u'TeamSonic', u'SonicJobs']point(39.928455,-105.140174)  02/23/2017
[u'PP17000053759', u'pdx911']point(45.495155,-122.494491)  02/23/2017
[]point(29.7629,-95.3832)  02/23/2017
[u'Arlington', u'job', u'ProductStrategy']point(38.8799697,-77.1067698)  02/23/2017
[]point(31.17921551,-83.78747333)  02/23/2017
[]point(39.90525,-75.17332)  02/23/2017
[]point(37.69970261,-123.01195704)  02/23/2017
[u'RedRocksAmphitheatre', u'Gorgeous', u'Red', u'Blue', u'RockFormation']point(39.66563572,-105.20510993)  02/23/2017
[]point(41.8514399,-87.62329)  02/23/2017
[]point(40.69488069,-74.17795054)  02/23/2017
[u'blueapron']point(41.3967,-73.0764)  02/23/2017
[u'Asheville', u'Physician', u'Veterans', u'Job', u'Jobs']point(35.5950581,-82.5514869)  02/23/2017
[]point(48.1283,-123.086)  02/23/2017
[u'coromandel']point(45.514698,-72.0132523)  02/23/2017
[]point(38.026608,-121.751513)  02/23/2017
[]point(26.34846497,-80.08402603)  02/23/2017
[]point(38.626,-90.1922)  02/23/2017
[]point(30.60440525,-91.60324638)  02/23/2017
[u'coromandel']point(45.514698,-72.0132523)  02/23/2017
[]point(29.090507,-81.8723258)  02/23/2017
[]point(30.2547267,-89.4385968)  02/23/2017
[]point(40.7162328,-74.00253296)  02/23/2017
[]point(28.33637534,-81.57271565)  02/23/2017
[u'nowplaying']point(41.235863,-96.05263)  02/23/2017
[]point(42.93915162,-78.79719139)  02/23/2017
[u'greenbrook']point(37.7799,-121.9723)  02/23/2017
[u'DanShrigley', u'Survival', u'SurvivalEarth', u'Host', u'Entertainer', u'Filmmaker', u'RadioHost', u'TalkRadio']point(40.7142,-74.0064)  02/23/2017
[]point(40.79526,-73.93259)  02/23/2017
[]point(47.23079339,-122.44316361)  02/23/2017
[]point(42.57569228,-83.12845706)  02/23/2017
[]point(40.69253,-73.991587)  02/23/2017
[u'sandiegogram']point(33.1472,-117.346)  02/23/2017
